Step: 0, Loss: 9.350343704223633
Validation Loss: 8.14299488067627, Perplexity: 3439.202392578125
Step: 100, Loss: 3.566943645477295
Step: 200, Loss: 2.9368019104003906
Step: 300, Loss: 2.5589685440063477
Step: 400, Loss: 2.3430898189544678
Step: 500, Loss: 2.153421401977539
Validation Loss: 2.263185739517212, Perplexity: 9.613666534423828
Step: 600, Loss: 2.0068562030792236
Step: 700, Loss: 1.8859984874725342
Step: 800, Loss: 1.7766664028167725
Step: 900, Loss: 1.6808208227157593
Step: 1000, Loss: 1.5841904878616333
Validation Loss: 2.100062131881714, Perplexity: 8.166677474975586
Step: 1100, Loss: 1.556077241897583
Step: 1200, Loss: 1.5071699619293213
Step: 1300, Loss: 1.452515721321106
Step: 1400, Loss: 1.3573009967803955
Step: 1500, Loss: 1.3422566652297974
Validation Loss: 2.0842418670654297, Perplexity: 8.038495063781738
Step: 1600, Loss: 1.291198492050171
Step: 1700, Loss: 1.2486776113510132
Step: 1800, Loss: 1.2069662809371948
Step: 1900, Loss: 1.2174943685531616
Step: 2000, Loss: 1.1645077466964722
Validation Loss: 2.1868298053741455, Perplexity: 8.90693187713623
Step: 2100, Loss: 1.1098873615264893
Step: 2200, Loss: 1.07223641872406
Step: 2300, Loss: 1.0335474014282227
Step: 2400, Loss: 1.0480396747589111
Step: 2500, Loss: 1.0192112922668457
Validation Loss: 2.3185627460479736, Perplexity: 10.161059379577637
