Step: 0, Loss: 9.3766450881958
Validation Loss: 9.226222038269043, Perplexity: 10160.0849609375
Step: 100, Loss: 4.77703332901001
Step: 200, Loss: 4.151111125946045
Step: 300, Loss: 3.884286403656006
Step: 400, Loss: 3.690397262573242
Step: 500, Loss: 3.545703172683716
Validation Loss: 3.465588331222534, Perplexity: 31.99527931213379
Step: 600, Loss: 3.4325146675109863
Step: 700, Loss: 3.3176541328430176
Step: 800, Loss: 3.238701820373535
Step: 900, Loss: 3.126582622528076
Step: 1000, Loss: 3.032938241958618
Validation Loss: 3.05340576171875, Perplexity: 21.187379837036133
Step: 1100, Loss: 2.969660520553589
Step: 1200, Loss: 2.928192377090454
Step: 1300, Loss: 2.831850051879883
Step: 1400, Loss: 2.7955729961395264
Step: 1500, Loss: 2.7834632396698
Validation Loss: 2.6586523056030273, Perplexity: 14.2770357131958
Step: 1600, Loss: 2.7025203704833984
Step: 1700, Loss: 2.689598798751831
Step: 1800, Loss: 2.6002891063690186
Step: 1900, Loss: 2.563352346420288
Step: 2000, Loss: 2.5253610610961914
Validation Loss: 2.574580430984497, Perplexity: 13.125808715820312
Step: 2100, Loss: 2.5122623443603516
Step: 2200, Loss: 2.4964799880981445
Step: 2300, Loss: 2.470632314682007
Step: 2400, Loss: 2.386975049972534
Step: 2500, Loss: 2.4004764556884766
