Step: 0, Loss: 9.377669334411621
Validation Loss: 9.333303451538086, Perplexity: 11308.4267578125
Step: 100, Loss: 6.169224739074707
Step: 200, Loss: 5.247218608856201
Step: 300, Loss: 4.771110534667969
Step: 400, Loss: 4.423926830291748
Step: 500, Loss: 4.246521472930908
Validation Loss: 4.254936695098877, Perplexity: 70.45235443115234
Step: 600, Loss: 4.16577672958374
Step: 700, Loss: 4.041939735412598
Step: 800, Loss: 3.9665448665618896
Step: 900, Loss: 3.9087724685668945
Step: 1000, Loss: 3.8515779972076416
Validation Loss: 3.774634599685669, Perplexity: 43.58157730102539
Step: 1100, Loss: 3.814669132232666
Step: 1200, Loss: 3.6969263553619385
Step: 1300, Loss: 3.6738932132720947
Step: 1400, Loss: 3.6655561923980713
Step: 1500, Loss: 3.5632779598236084
Validation Loss: 3.497102975845337, Perplexity: 33.0196533203125
Step: 1600, Loss: 3.526268243789673
Step: 1700, Loss: 3.4842941761016846
Step: 1800, Loss: 3.443655490875244
Step: 1900, Loss: 3.377389907836914
Step: 2000, Loss: 3.321828842163086
Validation Loss: 3.3084261417388916, Perplexity: 27.342058181762695
Step: 2100, Loss: 3.3436477184295654
Step: 2200, Loss: 3.251070022583008
Step: 2300, Loss: 3.232118844985962
Step: 2400, Loss: 3.1798017024993896
Step: 2500, Loss: 3.1599678993225098
Validation Loss: 3.189046621322632, Perplexity: 24.265281677246094
