Step: 0, Loss: 9.384367942810059
Validation Loss: 7.814487457275391, Perplexity: 2476.21728515625
Step: 100, Loss: 3.7916719913482666
Step: 200, Loss: 3.255197763442993
Step: 300, Loss: 3.3208446502685547
Step: 400, Loss: 3.601968288421631
Step: 500, Loss: 3.7868258953094482
Validation Loss: 3.6426467895507812, Perplexity: 38.19279098510742
Step: 600, Loss: 4.0794596672058105
Step: 700, Loss: 4.177134037017822
Step: 800, Loss: 4.227965354919434
Step: 900, Loss: 3.9835352897644043
Step: 1000, Loss: 4.219737529754639
Validation Loss: 4.192740440368652, Perplexity: 66.20397186279297
Step: 1100, Loss: 4.174389362335205
Step: 1200, Loss: 4.113868713378906
Step: 1300, Loss: 4.07911491394043
Step: 1400, Loss: 4.157309532165527
Step: 1500, Loss: 4.140295028686523
Validation Loss: 4.077282905578613, Perplexity: 58.9849853515625
Step: 1600, Loss: 4.06307315826416
Step: 1700, Loss: 4.007119655609131
Step: 1800, Loss: 4.034420013427734
Step: 1900, Loss: 3.9922635555267334
Step: 2000, Loss: 4.027475833892822
Validation Loss: 3.8769328594207764, Perplexity: 48.27592086791992
Step: 2100, Loss: 3.9757416248321533
Step: 2200, Loss: 4.007414817810059
Step: 2300, Loss: 4.016061782836914
