Step: 0, Loss: 9.383366584777832
Validation Loss: 8.198186874389648, Perplexity: 3634.354736328125
Step: 100, Loss: 3.454901933670044
Step: 200, Loss: 2.8101518154144287
Step: 300, Loss: 2.4408681392669678
Step: 400, Loss: 2.186298131942749
Step: 500, Loss: 2.003370523452759
Validation Loss: 2.1281166076660156, Perplexity: 8.399033546447754
Step: 600, Loss: 1.831876516342163
Step: 700, Loss: 1.711699366569519
Step: 800, Loss: 1.605790376663208
Step: 900, Loss: 1.5413528680801392
Step: 1000, Loss: 1.4145898818969727
Validation Loss: 2.075415849685669, Perplexity: 7.967859268188477
