Step: 0, Loss: 9.395113945007324
Validation Loss: 8.174263000488281, Perplexity: 3548.438720703125
Step: 100, Loss: 3.637543201446533
Step: 200, Loss: 3.0431861877441406
Step: 300, Loss: 2.7687013149261475
Step: 400, Loss: 2.505450963973999
Step: 500, Loss: 2.3354625701904297
Validation Loss: 2.4926908016204834, Perplexity: 12.09377384185791
Step: 600, Loss: 2.1244804859161377
Step: 700, Loss: 1.9949949979782104
Step: 800, Loss: 1.9780827760696411
Step: 900, Loss: 1.8856415748596191
Step: 1000, Loss: 1.8133450746536255
Validation Loss: 2.1499767303466797, Perplexity: 8.5846586227417
Step: 1100, Loss: 1.8010268211364746
Step: 1200, Loss: 1.701263666152954
Step: 1300, Loss: 1.6248693466186523
Step: 1400, Loss: 1.6065632104873657
Step: 1500, Loss: 1.5581231117248535
Validation Loss: 2.174996852874756, Perplexity: 8.802157402038574
Step: 1600, Loss: 1.5254594087600708
Step: 1700, Loss: 1.497454047203064
Step: 1800, Loss: 1.4436190128326416
Step: 1900, Loss: 1.4289313554763794
Step: 2000, Loss: 1.398748517036438
Validation Loss: 2.205138921737671, Perplexity: 9.071511268615723
Step: 2100, Loss: 1.3607896566390991
Step: 2200, Loss: 1.3734965324401855
Step: 2300, Loss: 1.3349485397338867
Step: 2400, Loss: 1.3622320890426636
Step: 2500, Loss: 1.2679353952407837
Validation Loss: 2.2641403675079346, Perplexity: 9.622848510742188
Step: 2600, Loss: 1.239653468132019
Step: 2700, Loss: 1.241560697555542
Step: 2800, Loss: 1.1984882354736328
Step: 2900, Loss: 1.1746363639831543
Step: 3000, Loss: 1.168609857559204
Validation Loss: 2.350766897201538, Perplexity: 10.493614196777344
Step: 3100, Loss: 1.1498631238937378
Step: 3200, Loss: 1.1635546684265137
Step: 3300, Loss: 1.100314736366272
Step: 3400, Loss: 1.0837143659591675
Step: 3500, Loss: 1.0551965236663818
Validation Loss: 2.2441163063049316, Perplexity: 9.432076454162598
Step: 3600, Loss: 1.0646507740020752
Step: 3700, Loss: 1.0540496110916138
Step: 3800, Loss: 1.0721441507339478
Step: 3900, Loss: 1.014823317527771
Step: 4000, Loss: 1.00684654712677
Validation Loss: 2.3822591304779053, Perplexity: 10.829339981079102
Step: 4100, Loss: 1.0045206546783447
Step: 4200, Loss: 0.9575596451759338
Step: 4300, Loss: 0.9853469133377075
