Step: 0, Loss: 9.391504287719727
Validation Loss: 8.186177253723145, Perplexity: 3590.96875
Step: 100, Loss: 3.5674586296081543
Step: 200, Loss: 2.9737274646759033
Step: 300, Loss: 2.585031270980835
Step: 400, Loss: 2.366206169128418
Step: 500, Loss: 2.1781728267669678
Validation Loss: 2.365821123123169, Perplexity: 10.652782440185547
Step: 600, Loss: 2.040241241455078
Step: 700, Loss: 1.8524625301361084
Step: 800, Loss: 1.8081496953964233
Step: 900, Loss: 1.6917386054992676
Step: 1000, Loss: 1.6593387126922607
Validation Loss: 2.0969855785369873, Perplexity: 8.14159107208252
Step: 1100, Loss: 1.5734541416168213
Step: 1200, Loss: 1.5105094909667969
Step: 1300, Loss: 1.439168930053711
Step: 1400, Loss: 1.4099763631820679
Step: 1500, Loss: 1.340686559677124
Validation Loss: 2.1440579891204834, Perplexity: 8.533998489379883
Step: 1600, Loss: 1.3159011602401733
Step: 1700, Loss: 1.2734153270721436
Step: 1800, Loss: 1.226399540901184
Step: 1900, Loss: 1.1821815967559814
Step: 2000, Loss: 1.1631711721420288
Validation Loss: 2.2090275287628174, Perplexity: 9.106856346130371
Step: 2100, Loss: 1.128038763999939
