Step: 0, Loss: 9.352302551269531
Validation Loss: 8.173185348510742, Perplexity: 3544.616943359375
Step: 100, Loss: 3.761056423187256
Step: 200, Loss: 3.2335405349731445
Step: 300, Loss: 2.8683948516845703
Step: 400, Loss: 2.6189634799957275
Step: 500, Loss: 2.5368454456329346
Validation Loss: 2.56193208694458, Perplexity: 12.960834503173828
Step: 600, Loss: 2.487316370010376
Step: 700, Loss: 2.3309426307678223
Step: 800, Loss: 2.2004787921905518
Step: 900, Loss: 2.1071648597717285
Step: 1000, Loss: 2.0463695526123047
Validation Loss: 2.2996551990509033, Perplexity: 9.970744132995605
Step: 1100, Loss: 2.018388032913208
Step: 1200, Loss: 1.9328229427337646
Step: 1300, Loss: 1.9001948833465576
Step: 1400, Loss: 1.8338252305984497
Step: 1500, Loss: 1.823632836341858
Validation Loss: 2.139418363571167, Perplexity: 8.494495391845703
Step: 1600, Loss: 1.8337104320526123
Step: 1700, Loss: 1.6991792917251587
Step: 1800, Loss: 1.7059499025344849
Step: 1900, Loss: 1.7043359279632568
Step: 2000, Loss: 1.6512666940689087
Validation Loss: 2.0555901527404785, Perplexity: 7.811446666717529
Step: 2100, Loss: 1.7201330661773682
Step: 2200, Loss: 1.619858980178833
Step: 2300, Loss: 1.5720747709274292
Step: 2400, Loss: 1.6445846557617188
Step: 2500, Loss: 1.4982850551605225
Validation Loss: 2.0761654376983643, Perplexity: 7.97383451461792
Step: 2600, Loss: 1.4829972982406616
Step: 2700, Loss: 1.4530673027038574
Step: 2800, Loss: 1.4594535827636719
Step: 2900, Loss: 1.4433258771896362
Step: 3000, Loss: 1.4131009578704834
Validation Loss: 2.0507137775421143, Perplexity: 7.7734479904174805
Step: 3100, Loss: 1.4998198747634888
Step: 3200, Loss: 1.4350765943527222
Step: 3300, Loss: 1.3912400007247925
Step: 3400, Loss: 1.3626270294189453
Step: 3500, Loss: 1.328893780708313
Validation Loss: 2.100682497024536, Perplexity: 8.171745300292969
Step: 3600, Loss: 1.4245860576629639
Step: 3700, Loss: 1.3063938617706299
Step: 3800, Loss: 1.281631588935852
Step: 3900, Loss: 1.283869981765747
Step: 4000, Loss: 1.2632217407226562
Validation Loss: 2.1268508434295654, Perplexity: 8.388408660888672
Step: 4100, Loss: 1.3055973052978516
Step: 4200, Loss: 1.2219603061676025
Step: 4300, Loss: 1.2045255899429321
Step: 4400, Loss: 1.2100995779037476
Step: 4500, Loss: 1.269374966621399
Validation Loss: 2.252528190612793, Perplexity: 9.51175308227539
Step: 4600, Loss: 1.199275255203247
Step: 4700, Loss: 1.1812297105789185
Step: 4800, Loss: 1.1960499286651611
Step: 4900, Loss: 1.1787538528442383
Step: 5000, Loss: 1.16252863407135
Validation Loss: 2.302133560180664, Perplexity: 9.99548625946045
Step: 5100, Loss: 1.1170724630355835
Step: 5200, Loss: 1.1367324590682983
Step: 5300, Loss: 1.1575145721435547
Step: 5400, Loss: 1.125157117843628
Step: 5500, Loss: 1.091202974319458
Validation Loss: 2.2440567016601562, Perplexity: 9.431514739990234
Step: 5600, Loss: 1.071498155593872
Step: 5700, Loss: 1.098602056503296
Step: 5800, Loss: 1.0889490842819214
Step: 5900, Loss: 1.0860819816589355
Step: 6000, Loss: 1.0612884759902954
Validation Loss: 2.384568214416504, Perplexity: 10.854374885559082
Step: 6100, Loss: 1.0485434532165527
Step: 6200, Loss: 1.043769359588623
Step: 6300, Loss: 1.0703353881835938
Step: 6400, Loss: 0.9984551668167114
Step: 6500, Loss: 1.0711290836334229
Validation Loss: 2.335054874420166, Perplexity: 10.330026626586914
Step: 6600, Loss: 1.0431832075119019
Step: 6700, Loss: 0.9956753849983215
Step: 6800, Loss: 0.976829469203949
Step: 6900, Loss: 1.0056174993515015
Step: 7000, Loss: 1.020474910736084
Validation Loss: 2.4382872581481934, Perplexity: 11.453408241271973
Step: 7100, Loss: 0.9491702914237976
Step: 7200, Loss: 0.9535913467407227
Step: 7300, Loss: 0.9463420510292053
Step: 7400, Loss: 0.9373161196708679
Step: 7500, Loss: 0.9463353753089905
Validation Loss: 2.5404415130615234, Perplexity: 12.685270309448242
Step: 7600, Loss: 0.9673490524291992
Step: 7700, Loss: 0.9677103757858276
Step: 7800, Loss: 0.8961127400398254
Step: 7900, Loss: 0.9548009634017944
Step: 8000, Loss: 0.9201798439025879
Validation Loss: 2.555727481842041, Perplexity: 12.880666732788086
Step: 8100, Loss: 0.9400157332420349
Step: 8200, Loss: 0.9175248146057129
Step: 8300, Loss: 0.9528172016143799
