Step: 0, Loss: 9.409050941467285
Validation Loss: 7.988954544067383, Perplexity: 2948.21337890625
Step: 100, Loss: 3.720193862915039
Step: 200, Loss: 3.101043462753296
Step: 300, Loss: 2.6727888584136963
Step: 400, Loss: 2.386533737182617
Step: 500, Loss: 2.303225040435791
Validation Loss: 2.417720079421997, Perplexity: 11.220248222351074
Step: 600, Loss: 2.122673749923706
Step: 700, Loss: 2.019615411758423
Step: 800, Loss: 2.024233818054199
Step: 900, Loss: 1.851698875427246
Step: 1000, Loss: 1.7923098802566528
Validation Loss: 2.064392566680908, Perplexity: 7.880509376525879
Step: 1100, Loss: 1.7814369201660156
Step: 1200, Loss: 1.7051423788070679
Step: 1300, Loss: 1.5797536373138428
Step: 1400, Loss: 1.637900710105896
Step: 1500, Loss: 1.5820637941360474
Validation Loss: 2.0754618644714355, Perplexity: 7.968225955963135
Step: 1600, Loss: 1.5340843200683594
Step: 1700, Loss: 1.4818837642669678
Step: 1800, Loss: 1.5166126489639282
Step: 1900, Loss: 1.4656062126159668
Step: 2000, Loss: 1.4325298070907593
Validation Loss: 2.113130569458008, Perplexity: 8.274103164672852
Step: 2100, Loss: 1.400112509727478
Step: 2200, Loss: 1.3202570676803589
Step: 2300, Loss: 1.3606117963790894
Step: 2400, Loss: 1.316503643989563
Step: 2500, Loss: 1.2869354486465454
Validation Loss: 2.178288698196411, Perplexity: 8.831180572509766
Step: 2600, Loss: 1.238622784614563
Step: 2700, Loss: 1.271325945854187
Step: 2800, Loss: 1.2433457374572754
Step: 2900, Loss: 1.2111896276474
Step: 3000, Loss: 1.1698098182678223
Validation Loss: 2.2832186222076416, Perplexity: 9.808198928833008
Step: 3100, Loss: 1.1908601522445679
Step: 3200, Loss: 1.1727575063705444
Step: 3300, Loss: 1.1418198347091675
Step: 3400, Loss: 1.1350650787353516
Step: 3500, Loss: 1.117658019065857
Validation Loss: 2.290010690689087, Perplexity: 9.875042915344238
Step: 3600, Loss: 1.0996845960617065
Step: 3700, Loss: 1.1124391555786133
Step: 3800, Loss: 1.0986500978469849
Step: 3900, Loss: 1.079364538192749
Step: 4000, Loss: 1.045617938041687
Validation Loss: 2.3477702140808105, Perplexity: 10.462215423583984
Step: 4100, Loss: 1.060882329940796
Step: 4200, Loss: 1.031064748764038
Step: 4300, Loss: 1.0456119775772095
Step: 4400, Loss: 1.0308547019958496
Step: 4500, Loss: 1.0118741989135742
Validation Loss: 2.459467649459839, Perplexity: 11.698582649230957
Step: 4600, Loss: 1.0096567869186401
Step: 4700, Loss: 0.9550569653511047
Step: 4800, Loss: 0.9503910541534424
Step: 4900, Loss: 0.9790640473365784
Step: 5000, Loss: 0.9862847924232483
Validation Loss: 2.5906848907470703, Perplexity: 13.33890438079834
Step: 5100, Loss: 0.9188727140426636
Step: 5200, Loss: 0.9117279052734375
Step: 5300, Loss: 0.9327752590179443
Step: 5400, Loss: 0.9351666569709778
Step: 5500, Loss: 0.9686037302017212
Validation Loss: 2.605013132095337, Perplexity: 13.531403541564941
Step: 5600, Loss: 0.9236652255058289
Step: 5700, Loss: 0.9273062348365784
Step: 5800, Loss: 0.8984742164611816
Step: 5900, Loss: 0.8961734771728516
Step: 6000, Loss: 0.918238639831543
Validation Loss: 2.508410930633545, Perplexity: 12.285392761230469
Step: 6100, Loss: 0.8807869553565979
Step: 6200, Loss: 0.8479554653167725
Step: 6300, Loss: 0.8586829304695129
Step: 6400, Loss: 0.8714364767074585
Step: 6500, Loss: 0.8606051206588745
Validation Loss: 2.644427537918091, Perplexity: 14.075385093688965
Step: 6600, Loss: 0.840133786201477
Step: 6700, Loss: 0.8419083952903748
Step: 6800, Loss: 0.8543980121612549
Step: 6900, Loss: 0.8369515538215637
Step: 7000, Loss: 0.8356783986091614
Validation Loss: 2.749206304550171, Perplexity: 15.630221366882324
Step: 7100, Loss: 0.8398325443267822
Step: 7200, Loss: 0.8357799053192139
Step: 7300, Loss: 0.8326407670974731
Step: 7400, Loss: 0.8214792609214783
Step: 7500, Loss: 0.829227864742279
Validation Loss: 2.809382438659668, Perplexity: 16.59966468811035
Step: 7600, Loss: 0.8148829936981201
Step: 7700, Loss: 0.7922427654266357
Step: 7800, Loss: 0.8233640193939209
Step: 7900, Loss: 0.7699092030525208
Step: 8000, Loss: 0.7912428975105286
Validation Loss: 2.7879531383514404, Perplexity: 16.24772834777832
Step: 8100, Loss: 0.7985669374465942
Step: 8200, Loss: 0.785760223865509
Step: 8300, Loss: 0.7750225067138672
Step: 8400, Loss: 0.7940822243690491
Step: 8500, Loss: 0.7514528632164001
Validation Loss: 2.8957438468933105, Perplexity: 18.09695816040039
Step: 8600, Loss: 0.773260235786438
Step: 8700, Loss: 0.756662905216217
Step: 8800, Loss: 0.7442334294319153
Step: 8900, Loss: 0.757509708404541
Step: 9000, Loss: 0.7492205500602722
Validation Loss: 2.9917945861816406, Perplexity: 19.921401977539062
Step: 9100, Loss: 0.7616329789161682
Step: 9200, Loss: 0.7447783350944519
Step: 9300, Loss: 0.7459469437599182
Step: 9400, Loss: 0.7374733090400696
Step: 9500, Loss: 0.7318849563598633
Validation Loss: 2.798790693283081, Perplexity: 16.424772262573242
Step: 9600, Loss: 0.714040219783783
Step: 9700, Loss: 0.7167377471923828
Step: 9800, Loss: 0.6992123126983643
Step: 9900, Loss: 0.7147871851921082
Step: 10000, Loss: 0.7202788591384888
Validation Loss: 2.9196925163269043, Perplexity: 18.53558921813965
Step: 10100, Loss: 0.7163808941841125
Step: 10200, Loss: 0.7040743827819824
Step: 10300, Loss: 0.6955368518829346
Step: 10400, Loss: 0.7260610461235046
Step: 10500, Loss: 0.7252776622772217
