Step: 0, Loss: 9.37347412109375
Validation Loss: 7.927939414978027, Perplexity: 2773.705322265625
Step: 100, Loss: 3.801342725753784
Step: 200, Loss: 3.1984751224517822
Step: 300, Loss: 2.8125343322753906
Step: 400, Loss: 2.526671886444092
Step: 500, Loss: 2.3176589012145996
Validation Loss: 2.4754674434661865, Perplexity: 11.887263298034668
Step: 600, Loss: 2.102482318878174
Step: 700, Loss: 1.9825983047485352
Step: 800, Loss: 1.8959696292877197
Step: 900, Loss: 1.7841717004776
Step: 1000, Loss: 1.6881567239761353
Validation Loss: 2.0413877964019775, Perplexity: 7.701290130615234
Step: 1100, Loss: 1.6398913860321045
Step: 1200, Loss: 1.5872808694839478
Step: 1300, Loss: 1.5539854764938354
Step: 1400, Loss: 1.4771299362182617
Step: 1500, Loss: 1.464142918586731
Validation Loss: 2.1834847927093506, Perplexity: 8.877187728881836
Step: 1600, Loss: 1.3902498483657837
Step: 1700, Loss: 1.3621456623077393
Step: 1800, Loss: 1.289888858795166
Step: 1900, Loss: 1.3006998300552368
Step: 2000, Loss: 1.2113734483718872
Validation Loss: 2.2125425338745117, Perplexity: 9.138922691345215
Step: 2100, Loss: 1.2016652822494507
Step: 2200, Loss: 1.1753909587860107
Step: 2300, Loss: 1.159082293510437
Step: 2400, Loss: 1.129415512084961
Step: 2500, Loss: 1.088912844657898
Validation Loss: 2.296254873275757, Perplexity: 9.936897277832031
Step: 2600, Loss: 1.1013939380645752
Step: 2700, Loss: 1.0870109796524048
Step: 2800, Loss: 1.0368279218673706
Step: 2900, Loss: 1.0300607681274414
Step: 3000, Loss: 0.9845197200775146
Validation Loss: 2.3844521045684814, Perplexity: 10.85311508178711
Step: 3100, Loss: 0.976679265499115
Step: 3200, Loss: 0.9497683644294739
Step: 3300, Loss: 0.9277892708778381
Step: 3400, Loss: 0.9213821887969971
Step: 3500, Loss: 0.897182285785675
Validation Loss: 2.626728057861328, Perplexity: 13.828450202941895
Step: 3600, Loss: 0.9025593996047974
Step: 3700, Loss: 0.8915453553199768
Step: 3800, Loss: 0.8604969382286072
Step: 3900, Loss: 0.8748391270637512
Step: 4000, Loss: 0.8463817834854126
Validation Loss: 2.6596791744232178, Perplexity: 14.291704177856445
Step: 4100, Loss: 0.8067097067832947
Step: 4200, Loss: 0.8177750706672668
Step: 4300, Loss: 0.7874158620834351
Step: 4400, Loss: 0.7852475047111511
Step: 4500, Loss: 0.7804412841796875
Validation Loss: 2.6695125102996826, Perplexity: 14.432931900024414
Step: 4600, Loss: 0.7729103565216064
Step: 4700, Loss: 0.7735701203346252
Step: 4800, Loss: 0.7442787885665894
Step: 4900, Loss: 0.7412358522415161
Step: 5000, Loss: 0.7482732534408569
Validation Loss: 2.9191927909851074, Perplexity: 18.52632713317871
Step: 5100, Loss: 0.7367864847183228
Step: 5200, Loss: 0.727550208568573
Step: 5300, Loss: 0.7209715247154236
Step: 5400, Loss: 0.707907497882843
Step: 5500, Loss: 0.7095136046409607
Validation Loss: 2.9722182750701904, Perplexity: 19.535205841064453
Step: 5600, Loss: 0.7055795788764954
Step: 5700, Loss: 0.6847862005233765
Step: 5800, Loss: 0.6734642386436462
Step: 5900, Loss: 0.6788074374198914
Step: 6000, Loss: 0.6757484674453735
Validation Loss: 2.9612061977386475, Perplexity: 19.32126235961914
Step: 6100, Loss: 0.6661337018013
Step: 6200, Loss: 0.6467244625091553
Step: 6300, Loss: 0.6713390350341797
Step: 6400, Loss: 0.650831937789917
Step: 6500, Loss: 0.6456032991409302
Validation Loss: 3.1124107837677, Perplexity: 22.475162506103516
Step: 6600, Loss: 0.6583705544471741
Step: 6700, Loss: 0.630794107913971
Step: 6800, Loss: 0.6255554556846619
Step: 6900, Loss: 0.6252310872077942
Step: 7000, Loss: 0.6202034950256348
Validation Loss: 3.178135633468628, Perplexity: 24.001962661743164
