Step: 0, Loss: 9.34634780883789
Validation Loss: 7.951122283935547, Perplexity: 2838.759033203125
Step: 100, Loss: 3.490811824798584
Step: 200, Loss: 2.8524858951568604
Step: 300, Loss: 2.4666028022766113
Step: 400, Loss: 2.2231030464172363
Step: 500, Loss: 2.0611886978149414
Validation Loss: 2.2047359943389893, Perplexity: 9.06785774230957
Step: 600, Loss: 1.9325488805770874
Step: 700, Loss: 1.7589081525802612
Step: 800, Loss: 1.7308001518249512
Step: 900, Loss: 1.606839895248413
Step: 1000, Loss: 1.5690337419509888
Validation Loss: 2.0631520748138428, Perplexity: 7.870739459991455
Step: 1100, Loss: 1.5186421871185303
Step: 1200, Loss: 1.424041986465454
Step: 1300, Loss: 1.4068706035614014
Step: 1400, Loss: 1.3471778631210327
Step: 1500, Loss: 1.3052107095718384
Validation Loss: 2.182032346725464, Perplexity: 8.864302635192871
Step: 1600, Loss: 1.2569301128387451
Step: 1700, Loss: 1.2187999486923218
Step: 1800, Loss: 1.2280689477920532
Step: 1900, Loss: 1.171026349067688
Step: 2000, Loss: 1.137073278427124
Validation Loss: 2.283957004547119, Perplexity: 9.81544303894043
Step: 2100, Loss: 1.132299542427063
Step: 2200, Loss: 1.0704396963119507
Step: 2300, Loss: 1.064415693283081
Step: 2400, Loss: 1.0649117231369019
Step: 2500, Loss: 1.0197080373764038
Validation Loss: 2.4142189025878906, Perplexity: 11.18103313446045
Step: 2600, Loss: 1.0028798580169678
Step: 2700, Loss: 0.9769771099090576
Step: 2800, Loss: 0.9883794784545898
Step: 2900, Loss: 0.9303573369979858
Step: 3000, Loss: 0.9386082887649536
Validation Loss: 2.5892460346221924, Perplexity: 13.319725036621094
Step: 3100, Loss: 0.9078115224838257
Step: 3200, Loss: 0.8877261877059937
Step: 3300, Loss: 0.8949781656265259
Step: 3400, Loss: 0.8819369077682495
Step: 3500, Loss: 0.8726544976234436
Validation Loss: 2.7306878566741943, Perplexity: 15.343438148498535
Step: 3600, Loss: 0.8510438799858093
Step: 3700, Loss: 0.8424512147903442
Step: 3800, Loss: 0.8199070692062378
Step: 3900, Loss: 0.8167148232460022
Step: 4000, Loss: 0.8036425709724426
Validation Loss: 2.7493014335632324, Perplexity: 15.631708145141602
Step: 4100, Loss: 0.8065996170043945
Step: 4200, Loss: 0.7878568172454834
Step: 4300, Loss: 0.7701443433761597
Step: 4400, Loss: 0.7451768517494202
Step: 4500, Loss: 0.764738917350769
Validation Loss: 2.907670021057129, Perplexity: 18.314077377319336
Step: 4600, Loss: 0.7533431053161621
Step: 4700, Loss: 0.7279884219169617
Step: 4800, Loss: 0.7385284304618835
Step: 4900, Loss: 0.7370070815086365
Step: 5000, Loss: 0.7103179693222046
Validation Loss: 2.8730697631835938, Perplexity: 17.69124412536621
Step: 5100, Loss: 0.7199710607528687
Step: 5200, Loss: 0.7132238149642944
Step: 5300, Loss: 0.6931040287017822
Step: 5400, Loss: 0.6928757429122925
Step: 5500, Loss: 0.6886031031608582
Validation Loss: 2.9156904220581055, Perplexity: 18.4615535736084
Step: 5600, Loss: 0.7002422213554382
Step: 5700, Loss: 0.658745288848877
Step: 5800, Loss: 0.6618386507034302
Step: 5900, Loss: 0.6699123978614807
Step: 6000, Loss: 0.6632329225540161
Validation Loss: 3.025383710861206, Perplexity: 20.601909637451172
Step: 6100, Loss: 0.6532701253890991
Step: 6200, Loss: 0.6473259329795837
Step: 6300, Loss: 0.6491482853889465
Step: 6400, Loss: 0.6327604651451111
Step: 6500, Loss: 0.6366201043128967
Validation Loss: 3.1114695072174072, Perplexity: 22.454017639160156
Step: 6600, Loss: 0.6342355012893677
Step: 6700, Loss: 0.6377477049827576
Step: 6800, Loss: 0.6318554282188416
Step: 6900, Loss: 0.6242475509643555
Step: 7000, Loss: 0.6191918253898621
Validation Loss: 3.144834280014038, Perplexity: 23.21582794189453
Step: 7100, Loss: 0.6110985279083252
Step: 7200, Loss: 0.594289243221283
Step: 7300, Loss: 0.5978954434394836
