Step: 0, Loss: 9.3796968460083
Validation Loss: 9.155879020690918, Perplexity: 9469.951171875
Step: 100, Loss: 4.714972496032715
Step: 200, Loss: 4.102540493011475
Step: 300, Loss: 3.813749313354492
Step: 400, Loss: 3.5626487731933594
Step: 500, Loss: 3.431307315826416
Validation Loss: 3.3574771881103516, Perplexity: 28.71665382385254
Step: 600, Loss: 3.2942450046539307
Step: 700, Loss: 3.201441764831543
Step: 800, Loss: 3.072094202041626
Step: 900, Loss: 3.0382978916168213
Step: 1000, Loss: 2.9134533405303955
Validation Loss: 2.926603078842163, Perplexity: 18.66412353515625
Step: 1100, Loss: 2.8472228050231934
Step: 1200, Loss: 2.781892776489258
Step: 1300, Loss: 2.733541965484619
Step: 1400, Loss: 2.6620171070098877
Step: 1500, Loss: 2.6052072048187256
Validation Loss: 2.574427604675293, Perplexity: 13.12380313873291
Step: 1600, Loss: 2.5607223510742188
Step: 1700, Loss: 2.5404160022735596
Step: 1800, Loss: 2.512382984161377
Step: 1900, Loss: 2.508885622024536
Step: 2000, Loss: 2.4272470474243164
Validation Loss: 2.4605956077575684, Perplexity: 11.711785316467285
Step: 2100, Loss: 2.3768808841705322
Step: 2200, Loss: 2.4219539165496826
Step: 2300, Loss: 2.3577818870544434
Step: 2400, Loss: 2.322293758392334
Step: 2500, Loss: 2.2729058265686035
Validation Loss: 2.3605740070343018, Perplexity: 10.59703254699707
Step: 2600, Loss: 2.2464582920074463
Step: 2700, Loss: 2.216932535171509
Step: 2800, Loss: 2.1917619705200195
Step: 2900, Loss: 2.2144405841827393
Step: 3000, Loss: 2.1816985607147217
Validation Loss: 2.286590337753296, Perplexity: 9.841324806213379
Step: 3100, Loss: 2.1491360664367676
Step: 3200, Loss: 2.0964019298553467
Step: 3300, Loss: 2.073533296585083
Step: 3400, Loss: 2.080747127532959
Step: 3500, Loss: 2.051499128341675
Validation Loss: 2.204216718673706, Perplexity: 9.063149452209473
Step: 3600, Loss: 2.0362563133239746
Step: 3700, Loss: 2.020388603210449
Step: 3800, Loss: 2.0359394550323486
Step: 3900, Loss: 1.994974970817566
Step: 4000, Loss: 1.9673871994018555
Validation Loss: 2.154599666595459, Perplexity: 8.624436378479004
Step: 4100, Loss: 1.945356011390686
Step: 4200, Loss: 1.9896668195724487
Step: 4300, Loss: 1.9566693305969238
Step: 4400, Loss: 1.8669235706329346
Step: 4500, Loss: 1.9084243774414062
Validation Loss: 2.044567346572876, Perplexity: 7.725815296173096
Step: 4600, Loss: 1.8748162984848022
Step: 4700, Loss: 1.8840696811676025
Step: 4800, Loss: 1.8255901336669922
Step: 4900, Loss: 1.8674030303955078
Step: 5000, Loss: 1.8632861375808716
Validation Loss: 2.0954947471618652, Perplexity: 8.129462242126465
Step: 5100, Loss: 1.8186700344085693
Step: 5200, Loss: 1.7879815101623535
Step: 5300, Loss: 1.7965514659881592
Step: 5400, Loss: 1.7746455669403076
Step: 5500, Loss: 1.77114737033844
Validation Loss: 2.0548338890075684, Perplexity: 7.805541038513184
Step: 5600, Loss: 1.768527626991272
Step: 5700, Loss: 1.7574433088302612
Step: 5800, Loss: 1.737213134765625
Step: 5900, Loss: 1.7355823516845703
Step: 6000, Loss: 1.685729742050171
Validation Loss: 2.0811240673065186, Perplexity: 8.013471603393555
Step: 6100, Loss: 1.687805414199829
Step: 6200, Loss: 1.6632767915725708
Step: 6300, Loss: 1.6916850805282593
Step: 6400, Loss: 1.6641157865524292
Step: 6500, Loss: 1.6588492393493652
Validation Loss: 2.0311527252197266, Perplexity: 7.622868537902832
Step: 6600, Loss: 1.6664652824401855
Step: 6700, Loss: 1.6545482873916626
Step: 6800, Loss: 1.6361823081970215
Step: 6900, Loss: 1.6481488943099976
Step: 7000, Loss: 1.6342835426330566
Validation Loss: 1.989720106124878, Perplexity: 7.313486576080322
Step: 7100, Loss: 1.6062915325164795
Step: 7200, Loss: 1.5951522588729858
