Step: 0, Loss: 9.360570907592773
Validation Loss: 8.005570411682129, Perplexity: 2997.609619140625
Step: 100, Loss: 5.828447341918945
Step: 200, Loss: 5.8382978439331055
Step: 300, Loss: 5.8394975662231445
Step: 400, Loss: 5.837985992431641
Step: 500, Loss: 5.83344841003418
Validation Loss: 5.86152458190918, Perplexity: 351.2592468261719
Step: 600, Loss: 5.845274448394775
Step: 700, Loss: 5.845963001251221
Step: 800, Loss: 5.812176704406738
Step: 900, Loss: 5.82253885269165
Step: 1000, Loss: 5.830331325531006
Validation Loss: 5.792184829711914, Perplexity: 327.728271484375
Step: 1100, Loss: 5.807061672210693
Step: 1200, Loss: 5.783397674560547
Step: 1300, Loss: 5.804953575134277
Step: 1400, Loss: 5.8163251876831055
Step: 1500, Loss: 5.801161766052246
Validation Loss: 5.823817729949951, Perplexity: 338.260986328125
Step: 1600, Loss: 5.801987648010254
Step: 1700, Loss: 5.817043781280518
Step: 1800, Loss: 5.799856185913086
Step: 1900, Loss: 5.7888054847717285
Step: 2000, Loss: 5.819581985473633
Validation Loss: 5.843716144561768, Perplexity: 345.05926513671875
Step: 2100, Loss: 5.827908515930176
Step: 2200, Loss: 5.794981956481934
Step: 2300, Loss: 5.827690601348877
Step: 2400, Loss: 5.832953453063965
Step: 2500, Loss: 5.797867298126221
Validation Loss: 5.817171573638916, Perplexity: 336.0202941894531
Step: 2600, Loss: 5.8347487449646
Step: 2700, Loss: 5.799173831939697
Step: 2800, Loss: 5.8243842124938965
Step: 2900, Loss: 5.806579113006592
Step: 3000, Loss: 5.806913375854492
Validation Loss: 5.8143792152404785, Perplexity: 335.08331298828125
Step: 3100, Loss: 5.806427478790283
Step: 3200, Loss: 5.804542064666748
Step: 3300, Loss: 5.829778671264648
Step: 3400, Loss: 5.813536643981934
Step: 3500, Loss: 5.805724143981934
Validation Loss: 5.840542793273926, Perplexity: 343.96600341796875
Step: 3600, Loss: 5.806331157684326
Step: 3700, Loss: 5.802432060241699
Step: 3800, Loss: 5.822841167449951
Step: 3900, Loss: 5.8243088722229
Step: 4000, Loss: 5.822908401489258
Validation Loss: 5.85481071472168, Perplexity: 348.9088439941406
Step: 4100, Loss: 5.823227882385254
Step: 4200, Loss: 5.826741695404053
Step: 4300, Loss: 5.842553615570068
Step: 4400, Loss: 5.834024906158447
Step: 4500, Loss: 5.794182777404785
Validation Loss: 5.872391700744629, Perplexity: 355.09722900390625
Step: 4600, Loss: 5.778387546539307
Step: 4700, Loss: 5.802146911621094
Step: 4800, Loss: 5.807614326477051
Step: 4900, Loss: 5.812580108642578
Step: 5000, Loss: 5.827294826507568
Validation Loss: 5.840917110443115, Perplexity: 344.09478759765625
Step: 5100, Loss: 5.808664321899414
Step: 5200, Loss: 5.807837963104248
Step: 5300, Loss: 5.837734699249268
Step: 5400, Loss: 5.805397987365723
Step: 5500, Loss: 5.804581642150879
Validation Loss: 5.809736251831055, Perplexity: 333.5311279296875
Step: 5600, Loss: 5.771507263183594
Step: 5700, Loss: 5.845858573913574
Step: 5800, Loss: 5.804340362548828
Step: 5900, Loss: 5.816094875335693
Step: 6000, Loss: 5.817309856414795
Validation Loss: 5.822240352630615, Perplexity: 337.72784423828125
Step: 6100, Loss: 5.801288604736328
Step: 6200, Loss: 5.802254676818848
Step: 6300, Loss: 5.811129570007324
Step: 6400, Loss: 5.837186336517334
Step: 6500, Loss: 5.824631690979004
Validation Loss: 5.87702751159668, Perplexity: 356.74725341796875
Step: 6600, Loss: 5.822360038757324
Step: 6700, Loss: 5.806631088256836
Step: 6800, Loss: 5.821265697479248
