Step: 0, Loss: 9.397468566894531
Validation Loss: 9.320268630981445, Perplexity: 11161.9794921875
Step: 100, Loss: 6.068669319152832
Step: 200, Loss: 5.109797477722168
Step: 300, Loss: 4.642668724060059
Step: 400, Loss: 4.346166610717773
Step: 500, Loss: 4.169279098510742
Validation Loss: 4.142420291900635, Perplexity: 62.95500564575195
Step: 600, Loss: 4.032050132751465
Step: 700, Loss: 3.950232982635498
Step: 800, Loss: 3.881178617477417
Step: 900, Loss: 3.780848264694214
Step: 1000, Loss: 3.702225923538208
Validation Loss: 3.61653208732605, Perplexity: 37.208309173583984
Step: 1100, Loss: 3.5774648189544678
Step: 1200, Loss: 3.573352098464966
Step: 1300, Loss: 3.522839069366455
Step: 1400, Loss: 3.5055370330810547
Step: 1500, Loss: 3.435119867324829
Validation Loss: 3.3382983207702637, Perplexity: 28.171146392822266
Step: 1600, Loss: 3.3798987865448
Step: 1700, Loss: 3.286613702774048
Step: 1800, Loss: 3.255014657974243
Step: 1900, Loss: 3.2465033531188965
Step: 2000, Loss: 3.219831943511963
Validation Loss: 3.138186454772949, Perplexity: 23.0620059967041
Step: 2100, Loss: 3.1516735553741455
Step: 2200, Loss: 3.16599702835083
Step: 2300, Loss: 3.0762879848480225
Step: 2400, Loss: 3.0775253772735596
Step: 2500, Loss: 3.061838150024414
Validation Loss: 2.9771804809570312, Perplexity: 19.63238525390625
Step: 2600, Loss: 3.0780959129333496
Step: 2700, Loss: 3.0020036697387695
Step: 2800, Loss: 2.945768117904663
Step: 2900, Loss: 2.9655065536499023
Step: 3000, Loss: 2.938204765319824
Validation Loss: 2.929119110107422, Perplexity: 18.711139678955078
Step: 3100, Loss: 2.910142660140991
Step: 3200, Loss: 2.855048418045044
Step: 3300, Loss: 2.890496015548706
Step: 3400, Loss: 2.8226239681243896
Step: 3500, Loss: 2.857581377029419
Validation Loss: 2.8203704357147217, Perplexity: 16.78306770324707
Step: 3600, Loss: 2.83013653755188
Step: 3700, Loss: 2.7953221797943115
Step: 3800, Loss: 2.8046767711639404
Step: 3900, Loss: 2.7270278930664062
Step: 4000, Loss: 2.6924362182617188
Validation Loss: 2.6952500343322754, Perplexity: 14.809221267700195
Step: 4100, Loss: 2.7543177604675293
Step: 4200, Loss: 2.6988813877105713
Step: 4300, Loss: 2.7580275535583496
Step: 4400, Loss: 2.617969512939453
Step: 4500, Loss: 2.6758158206939697
Validation Loss: 2.719517707824707, Perplexity: 15.173003196716309
Step: 4600, Loss: 2.651448965072632
Step: 4700, Loss: 2.6299397945404053
Step: 4800, Loss: 2.636631727218628
Step: 4900, Loss: 2.578179359436035
Step: 5000, Loss: 2.5911643505096436
Validation Loss: 2.607210874557495, Perplexity: 13.561175346374512
Step: 5100, Loss: 2.563549280166626
Step: 5200, Loss: 2.5931246280670166
Step: 5300, Loss: 2.5654895305633545
Step: 5400, Loss: 2.6161696910858154
Step: 5500, Loss: 2.5340752601623535
Validation Loss: 2.531682014465332, Perplexity: 12.574639320373535
Step: 5600, Loss: 2.467062473297119
Step: 5700, Loss: 2.5391933917999268
Step: 5800, Loss: 2.4752883911132812
Step: 5900, Loss: 2.504770040512085
Step: 6000, Loss: 2.5135908126831055
Validation Loss: 2.5114598274230957, Perplexity: 12.322906494140625
Step: 6100, Loss: 2.476809024810791
Step: 6200, Loss: 2.4470980167388916
Step: 6300, Loss: 2.4712867736816406
Step: 6400, Loss: 2.470768928527832
Step: 6500, Loss: 2.488100528717041
Validation Loss: 2.4566895961761475, Perplexity: 11.666128158569336
Step: 6600, Loss: 2.3648219108581543
Step: 6700, Loss: 2.409142017364502
Step: 6800, Loss: 2.4135029315948486
Step: 6900, Loss: 2.4189600944519043
Step: 7000, Loss: 2.362304210662842
Validation Loss: 2.4242589473724365, Perplexity: 11.29385757446289
Step: 7100, Loss: 2.4146673679351807
Step: 7200, Loss: 2.37121844291687
Step: 7300, Loss: 2.3538496494293213
